ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3600000;78;3.0
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00038851;Norman;Theuerkauf;Theuerkauf;Norman Theuerkauf;1. FC Heidenheim;MIDFIELDER;1300000;0;0.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;1000000;8;3.0
pl-k00039186;Sascha;Burchert;Burchert;Sascha Burchert;FC St. Pauli;GOALKEEPER;500000;0;0.0
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3800000;107;2.83
pl-k00039317;Thomas;Müller;T. Müller;Thomas Müller;Bayern München;MIDFIELDER;4200000;62;3.11
pl-k00040780;Manuel;Riemann;Riemann;Manuel Riemann;VfL Bochum;GOALKEEPER;1800000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;800000;0;0.0
pl-k00041690;Manuel;Gulde;Gulde;Manuel Gulde;SC Freiburg;DEFENDER;1800000;0;0.0
pl-k00042122;Kevin;Trapp;Trapp;Kevin Trapp;Eintracht Frankfurt;GOALKEEPER;3200000;62;3.18
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2500000;60;3.19
pl-k00047579;Nicolas;Höfler;Höfler;Nicolas Höfler;SC Freiburg;MIDFIELDER;2400000;18;4.1
pl-k00047724;Lewis;Holtby;Holtby;Lewis Holtby;Holstein Kiel;MIDFIELDER;1800000;14;4.3
pl-k00048998;Kevin;Volland;Volland;Kevin Volland;1. FC Union Berlin;FORWARD;2000000;2;0.0
pl-k00049258;Timo;Horn;T. Horn;Timo Horn;VfL Bochum;GOALKEEPER;2400000;0;0.0
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;2;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;1. FSV Mainz 05;GOALKEEPER;800000;0;0.0
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;1200000;36;3.0
pl-k00054652;Pascal;Groß;P. Groß;Pascal Groß;Borussia Dortmund;MIDFIELDER;3800000;40;3.75
pl-k00054657;Kevin;Vogt;Vogt;Kevin Vogt;1. FC Union Berlin;DEFENDER;2500000;66;3.38
pl-k00054894;Simon;Zoller;Zoller;Simon Zoller;FC St. Pauli;FORWARD;1200000;0;0.0
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;2200000;52;3.63
pl-k00057245;Marnon;Busch;Busch;Marnon Busch;1. FC Heidenheim;DEFENDER;1300000;22;3.67
pl-k00057247;Marvin;Ducksch;Ducksch;Marvin Ducksch;Werder Bremen;FORWARD;3800000;82;3.57
pl-k00057343;Granit;Xhaka;G. Xhaka;Granit Xhaka;Bayer 04 Leverkusen;MIDFIELDER;6000000;121;2.83
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00057894;Kevin;Kampl;Kampl;Kevin Kampl;RB Leipzig;MIDFIELDER;1800000;48;3.4
pl-k00057925;Lukas;Hradecky;Hradecky;Lukas Hradecky;Bayer 04 Leverkusen;GOALKEEPER;3600000;74;3.25
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;DEFENDER;3000000;94;3.29
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;MIDFIELDER;2500000;30;3.9
pl-k00058073;Vitus;Eicher;Eicher;Vitus Eicher;1. FC Heidenheim;GOALKEEPER;800000;0;0.0
pl-k00058548;Peter;Gulacsi;Gulacsi;Peter Gulacsi;RB Leipzig;GOALKEEPER;3600000;126;2.64
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;16;2.5
pl-k00058774;Denis;Thomalla;Thomalla;Denis Thomalla;1. FC Heidenheim;MIDFIELDER;1000000;2;0.0
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1700000;22;4.0
pl-k00058963;Thomas;Dähne;Dähne;Thomas Dähne;Holstein Kiel;GOALKEEPER;800000;0;0.0
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;FORWARD;5000000;75;3.61
pl-k00059580;Kevin;Behrens;K. Behrens;Kevin Behrens;VfL Wolfsburg;FORWARD;1800000;17;5.0
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1600000;45;3.4
